Question,Answer
What functions does antctl perform in agent mode?,"In agent mode, antctl connects to the Antrea Agent and queries information local to that Agent, like the set of computed network policies."
What is the purpose of the Antrea Agent in the Antrea system?,"Antrea Agent is a component that runs on each node, responsible for enforcing network policies and ensuring network connectivity for pods on that node."
What is the purpose of the Antrea Agent in the Antrea system?,"Antrea Agent is a component that runs on each node, responsible for enforcing network policies and ensuring network connectivity for pods on that node."
What functions does antctl perform in agent mode?,"In agent mode, antctl connects to the Antrea Agent and queries information local to that Agent, like the set of computed network policies."
What can antctl do in its controller mode?,"In controller mode, antctl can connect to the Antrea Controller to query information like the set of computed NetworkPolicies."
How are NetworkPolicies used within Antrea?,"In Antrea, NetworkPolicies are used to define network rules and policies to control the flow of traffic between pods and/or network endpoints."
What is the purpose of the Antrea Agent in the Antrea system?,"Antrea Agent is a component that runs on each node, responsible for enforcing network policies and ensuring network connectivity for pods on that node."
What can antctl do in its controller mode?,"In controller mode, antctl can connect to the Antrea Controller to query information like the set of computed NetworkPolicies."
What is antctl in the context of Antrea?,"Antctl is the command-line tool for Antrea, used to interact with and manage Antrea components."
What is the purpose of the Antrea Agent in the Antrea system?,"Antrea Agent is a component that runs on each node, responsible for enforcing network policies and ensuring network connectivity for pods on that node."
